Site,Longitude,Latitude,C14Age,C14Error,AgeCalBP,LabID,Database,Reference,Comment
M'lefaat,43.5,36.3333,10890,140,12855,Gd-6150,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Las Vegas (Sites M5A4-67 and OGSE-80),-80.92,-2.22,10130,40,12712,,,"Piperno, D. R., & Stothert, K. E. (2003). Phytolith evidence for early Holocene Cucurbita domestication in southwest Ecuador. Science, 299(5609), 1054-1057.","Cucurbita ecuadorensis, Cucurbita moschata"
Hallan Cemi Tepsi,41.27,38.31,10590,170,12497,BETA-55052,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Cayönü,39.65,38.23,10430,80,12308,GrN-8103,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Körtik Tepe,40.983894,37.814417,10330,70,12166,ETH-45335,,"Riehl, Simone, Marion Benz, Nicholas J Conard, Hojjat Darabi, Katleen Deckers, Hassan Fazeli Nashli, and Mohsen Zeidi-Kulehparcheh. 2012. “Plant Use in Three Pre-Pottery Neolithic Sites of the Northern and Eastern Fertile Crescent: A Preliminary Report.” Vegetation History and Archaeobotany 21 (2): 95–106.","Triticum sp., Triticum cf. boeoticum/secale sp., Hordeum sp."
Mureybet,38.2,36.05,10215,117,11915,P-1217,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Wadi Faynan 16,35.4453,30.6256,10220,60,11900,Beta-120210,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Tell Qaramel,37.2751,36.3778,10200,80,11870,,,"Willcox, George, Sandra Fornite, and Linda Herveux. 2008. “Early Holocene Cultivation before Domestication in Northern Syria.” Vegetation History and Archaeobotany 17 (3): 313–25","Hordeum spontaneum, Triticum/secale sp., Triticum boeoticum, Triticum dicoccoides, Lens sp., Vicia ervilia"
Hatoula,35.15,31.7833,10170,120,11810,GifA-91139,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Abu Madi I,33.97,28.55,10110,100,11673,Pta-2669,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Nemrik 9,42.88,36.72,10070,120,11615,GD-6148,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Shimshara,44.3922,35.4681,10030,160,11587,K-981,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
